symbol 0
13 7 0.97
13 8 1.0
13 9 0.83
13 10 0.49
13 11 0.25
14 0 0.07
14 1 0.21
14 2 0.49
14 3 0.77
14 4 0.90
14 5 0.91
14 6 0.91
14 7 0.90
14 8 0.77
14 9 0.49
14 10 0.21
14 11 0.07
15 0 0.01
15 1 0.07
15 2 0.25
15 3 0.48
15 4 0.63
15 5 0.66
15 6 0.66
15 7 0.63
15 8 0.48
15 9 0.25
15 10 0.07
15 11 0.01

symbol 1
0 0 0.0
0 1 0.0
0 2 0.0
0 3 0.05
0 4 0.24
0 5 0.47
0 6 0.47
0 7 0.27
0 8 0.05
0 9 0.0
0 10 0.0
0 11 0.0
1 0 0.0
1 1 0.0
1 2 0.0
1 3 0.07
1 4 0.35
1 5 0.71
1 6 0.71
1 7 0.35
1 8 0.07
1 9 0.0
1 10 0.0
1 11 0.0
2 0 0.0
2 1 0.0
2 2 0.0
2 3 0.09
2 4 0.47
2 5 0.94
2 6 0.94
2 7 0.47
2 8 0.09
2 9 0.0
2 10 0.0
2 11 0.0
3 0 0.0
3 1 0.0
3 2 0.0
3 3 0.01
3 4 0.5
3 5 1.0
3 6 1.0
3 7 0.5
3 8 0.01
3 9 0.0
3 10 0.0
3 11 0.0
4 0 0.0
4 1 0.0
4 2 0.0
4 3 0.01
4 4 0.5
4 5 1.0
4 6 1.0
4 7 0.5
4 8 0.01
4 9 0.0
4 10 0.0
4 11 0.0
5 0 0.0
5 1 0.0
5 2 0.0
5 3 0.01
5 4 0.5
5 5 1.0
5 6 1.0
5 7 0.5
5 8 0.01
5 9 0.0
5 10 0.0
5 11 0.0
6 0 0.0
6 1 0.0
6 2 0.0
6 3 0.01
6 4 0.5
6 5 1.0
6 6 1.0
6 7 0.5
6 8 0.01
6 9 0.0
6 10 0.0
6 11 0.0
7 0 0.0
7 1 0.0
7 2 0.0
7 3 0.01
7 4 0.5
7 5 1.0
7 6 1.0
7 7 0.5
7 8 0.01
7 9 0.0
7 10 0.0
7 11 0.0
8 0 0.0
8 1 0.0
8 2 0.0
8 3 0.01
8 4 0.5
8 5 1.0
8 6 1.0
8 7 0.5
8 8 0.01
8 9 0.0
8 10 0.0
8 11 0.0
9 0 0.0
9 1 0.0
9 2 0.0
9 3 0.01
9 4 0.5
9 5 1.0
9 6 1.0
9 7 0.5
9 8 0.01
9 9 0.0
9 10 0.0
9 11 0.0
10 0 0.0
10 1 0.0
10 2 0.0
10 3 0.01
10 4 0.5
10 5 1.0
10 6 1.0
10 7 0.5
10 8 0.01
10 9 0.0
10 10 0.0
10 11 0.0
11 0 0.0
11 1 0.0
11 2 0.0
11 3 0.01
11 4 0.5
11 5 1.0
11 6 1.0
11 7 0.5
11 8 0.01
11 9 0.0
11 10 0.0
11 11 0.0
12 0 0.0
12 1 0.0
12 2 0.0
12 3 0.01
12 4 0.5
12 5 1.0
12 6 1.0
12 7 0.5
12 8 0.01
12 9 0.0
12 10 0.0
12 11 0.0
13 0 0.0
13 1 0.0
13 2 0.0
13 3 0.09
13 4 0.47
13 5 0.94
13 6 0.94
13 7 0.47
13 8 0.09
13 9 0.0
13 10 0.0
13 11 0.0
14 0 0.0
14 1 0.0
14 2 0.0
14 3 0.07
14 4 0.35
14 5 0.71
14 6 0.71
14 7 0.35
14 8 0.07
14 9 0.0
14 10 0.0
14 11 0.0
15 0 0.0
15 1 0.0
15 2 0.0
15 3 0.05
15 4 0.24
15 5 0.47
15 6 0.47
15 7 0.24
15 8 0.05
15 9 0.0
15 10 0.0
15 11 0.0

symbol 2
0 0 0.0
0 1 0.05
0 2 0.05
0 3 0.19
0 4 0.38
0 5 0.53
0 6 0.57
0 7 0.45
0 8 0.22
0 9 0.05
0 10 0.0
0 11 0.0
1 0 0.00
1 1 0.04
1 2 0.15
1 3 0.37
1 4 0.64
1 5 0.82
1 6 0.87
1 7 0.75
1 8 0.46
1 9 0.17
1 10 0.04
1 11 0.0
2 0 0.05
2 1 0.15
2 2 0.38
2 3 0.68
2 4 0.87
2 5 0.89
2 6 0.87
2 7 0.87
2 8 0.76
2 9 0.47
2 10 0.17
2 11 0.05
3 0 0.19
3 1 0.37
3 2 0.68
3 3 0.87
3 4 0.79
3 5 0.55
3 6 0.43
3 7 0.56
3 8 0.78
3 9 0.74
3 10 0.41
3 11 0.19
4 0 0.37
4 1 0.63
4 2 0.87
4 3 0.78
4 4 0.47
4 5 0.19
4 6 0.10
4 7 0.21
4 8 0.56
4 9 0.80
4 10 0.62
4 11 0.36
5 0 0.39
5 1 0.63
5 2 0.71
5 3 0.46
5 4 0.17
5 5 0.04
5 6 0.01
5 7 0.10
5 8 0.43
5 9 0.78
5 10 0.70
5 11 0.44
6 0 0.19
6 1 0.30
6 2 0.30
6 3 0.15
6 4 0.04
6 5 0.01
6 6 0.04
6 7 0.19
6 8 0.55
6 9 0.81
6 10 0.63
6 11 0.37
7 0 0.03
7 1 0.04
7 2 0.04
7 3 0.02
7 4 0.02
7 5 0.06
7 6 0.17
7 7 0.42
7 8 0.75
7 9 0.79
7 10 0.47
7 11 0.21
8 0 0.0
8 1 0.0
8 2 0.0
8 3 0.0
8 4 0.13
8 5 0.28
8 6 0.48
8 7 0.69
8 8 0.78
8 9 0.61
8 10 0.28
8 11 0.09
9 0 0.0
9 1 0.00
9 2 0.04
9 3 0.15
9 4 0.36
9 5 0.59
9 6 0.75
9 7 0.75
9 8 0.59
9 9 0.34
9 10 0.13
9 11 0.03
10 0 0.0
10 1 0.04
10 2 0.15
10 3 0.38
10 4 0.62
10 5 0.74
10 6 0.67
10 7 0.48
10 8 0.28
10 9 0.13
10 10 0.04
10 11 0.0
11 0 0.05
11 1 0.15
11 2 0.38
11 3 0.65
11 4 0.79
11 5 0.69
11 6 0.45
11 7 0.23
11 8 0.13
11 9 0.08
11 10 0.05
11 11 0.03
12 0 0.19
12 1 0.37
12 2 0.66
12 3 0.87
12 4 0.89
12 5 0.73
12 6 0.54
12 7 0.43
12 8 0.40
12 9 0.38
12 10 0.30
12 11 0.19
13 0 0.33
13 1 0.56
13 2 0.86
13 3 1.0
13 4 1.0
13 5 0.93
13 6 0.88
13 7 0.85
13 8 0.85
13 9 0.85
13 10 0.68
13 11 0.42
14 0 0.32
14 1 0.53
14 2 0.78
14 3 0.87
14 4 0.87
14 5 0.87
14 6 0.87
14 7 0.87
14 8 0.87
14 9 0.87
14 10 0.70
14 11 0.43
15 0 0.23
15 1 0.37
15 2 0.53
15 3 0.58
15 4 0.58
15 5 0.58
15 6 0.58
15 7 0.58
15 8 0.58
15 9 0.57
15 10 0.45
15 11 0.28

symbol 3
0 0 0.01
0 1 0.07
0 2 0.25
0 3 0.48
0 4 0.63
0 5 0.66
0 6 0.66
0 7 0.63
0 8 0.48
0 9 0.25
0 10 0.07
0 11 0.01
1 0 0.07
1 1 0.21
1 2 0.49
1 3 0.77
1 4 0.90
1 5 0.91
1 6 0.91
1 7 0.90
1 8 0.77
1 9 0.49
1 10 0.21
1 11 0.07
2 0 0.25
2 1 0.49
2 2 0.83
2 3 1.0
2 4 0.97
2 5 0.90
2 6 0.90
2 7 0.97
2 8 1.0
2 9 0.83
2 10 0.49
2 11 0.25
3 0 0.44
3 1 0.71
3 2 0.95
3 3 0.86
3 4 0.62
3 5 0.47
3 6 0.47
3 7 0.62
3 8 0.89
3 9 1.0
3 10 0.77
3 11 0.48
4 0 0.42
4 1 0.61
4 2 0.69
4 3 0.48
4 4 0.23
4 5 0.11
4 6 0.11
4 7 0.26
4 8 0.62
4 9 0.97
4 10 0.90
4 11 0.63
5 0 0.21
5 1 0.29
5 2 0.30
5 3 0.17
5 4 0.05
5 5 0.03
5 6 0.07
5 7 0.19
5 8 0.52
5 9 0.90
5 10 0.88
5 11 0.63
6 0 0.04
6 1 0.06
6 2 0.05
6 3 0.03
6 4 0.03
6 5 0.14
6 6 0.30
6 7 0.47
6 8 0.71
6 9 0.90
6 10 0.76
6 11 0.49
7 0 0.0
7 1 0.0
7 2 0.0
7 3 0.0
7 4 0.05
7 5 0.27
7 6 0.60
7 7 0.85
7 8 0.98
7 9 0.93
7 10 0.61
7 11 0.32
8 0 0.0
8 1 0.0
8 2 0.0
8 3 0.0
8 4 0.05
8 5 0.27
8 6 0.60
8 7 0.85
8 8 0.98
8 9 0.93
8 10 0.61
8 11 0.32
9 0 0.04
9 1 0.06
9 2 0.05
9 3 0.03
9 4 0.03
9 5 0.14
9 6 0.30
9 7 0.47
9 8 0.71
9 9 0.90
9 10 0.76
9 11 0.49
10 0 0.21
10 1 0.29
10 2 0.30
10 3 0.17
10 4 0.05
10 5 0.03
10 6 0.07
10 7 0.19
10 8 0.52
10 9 0.90
10 10 0.88
10 11 0.63
11 0 0.42
11 1 0.61
11 2 0.69
11 3 0.49
11 4 0.23
11 5 0.11
11 6 0.11
11 7 0.26
11 8 0.62
11 9 0.97
11 10 0.90
11 11 0.63
12 0 0.44
12 1 0.71
12 2 0.95
12 3 0.86
12 4 0.62
12 5 0.47
12 6 0.47
12 7 0.62
12 8 0.89
12 9 1.0
12 10 0.77
12 11 0.48
13 0 0.25
13 1 0.49
13 2 0.83
13 3 1.0
13 4 0.97
13 5 0.90
13 6 0.90
13 7 0.97
13 8 1.0
13 9 0.83
13 10 0.49
13 11 0.25
14 0 0.07
14 1 0.21
14 2 0.49
14 3 0.77
14 4 0.90
14 5 0.91
14 6 0.91
14 7 0.90
14 8 0.77
14 9 0.49
14 10 0.21
14 11 0.07
15 0 0.01
15 1 0.07
15 2 0.25
15 3 0.48
15 4 0.63
15 5 0.66
15 6 0.66
15 7 0.63
15 8 0.48
15 9 0.25
15 10 0.07
15 11 0.01

symbol 4
0 0 0.0
0 1 0.0
0 2 0.03
0 3 0.16
0 4 0.32
0 5 0.32
0 6 0.19
0 7 0.19
0 8 0.32
0 9 0.32
0 10 0.16
0 11 0.04
1 0 0.0
1 1 0.00
1 2 0.07
1 3 0.28
1 4 0.51
1 5 0.47
1 6 0.27
1 7 0.30
1 8 0.52
1 9 0.52
1 10 0.25
1 11 0.06
2 0 0.0
2 1 0.02
2 2 0.17
2 3 0.51
2 4 0.74
2 5 0.57
2 6 0.30
2 7 0.40
2 8 0.76
2 9 0.76
2 10 0.36
2 11 0.08
3 0 0.00
3 1 0.06
3 2 0.33
3 3 0.73
3 4 0.80
3 5 0.47
3 6 0.22
3 7 0.42
3 8 0.84
3 9 0.84
3 10 0.39
3 11 0.09
4 0 0.03
4 1 0.15
4 2 0.49
4 3 0.80
4 4 0.67
4 5 0.30
4 6 0.14
4 7 0.40
4 8 0.85
4 9 0.85
4 10 0.40
4 11 0.10
5 0 0.09
5 1 0.29
5 2 0.66
5 3 0.83
5 4 0.58
5 5 0.26
5 6 0.19
5 7 0.45
5 8 0.86
5 9 0.86
5 10 0.44
5 11 0.14
6 0 0.22
6 1 0.48
6 2 0.84
6 3 0.91
6 4 0.69
6 5 0.51
6 6 0.49
6 7 0.66
6 8 0.92
6 9 0.90
6 10 0.54
6 11 0.26
7 0 0.35
7 1 0.61
7 2 0.92
7 3 0.99
7 4 0.91
7 5 0.87
7 6 0.87
7 7 0.92
7 8 1.0
7 9 0.94
7 10 0.65
7 11 0.39
8 0 0.33
8 1 0.53
8 2 0.76
8 3 0.84
8 4 0.83
8 5 0.84
8 6 0.86
8 7 0.92
8 8 0.99
8 9 0.94
8 10 0.65
8 11 0.39
9 0 0.16
9 1 0.25
9 2 0.36
9 3 0.39
9 4 0.39
9 5 0.39
9 6 0.44
9 7 0.64
9 8 0.92
9 9 0.90
9 10 0.56
9 11 0.28
10 0 0.03
10 1 0.05
10 2 0.06
10 3 0.07
10 4 0.07
10 5 0.07
10 6 0.13
10 7 0.44
10 8 0.86
10 9 0.87
10 10 0.46
10 11 0.17
11 0 0.0
11 1 0.0
11 2 0.0
11 3 0.0
11 4 0.0
11 5 0.0
11 6 0.07
11 7 0.39
11 8 0.84
11 9 0.85
11 10 0.41
11 11 0.11
12 0 0.0
12 1 0.0
12 2 0.0
12 3 0.0
12 4 0.0
12 5 0.0
12 6 0.07
12 7 0.39
12 8 0.84
12 9 0.85
12 10 0.40
12 11 0.09
13 0 0.0
13 1 0.0
13 2 0.0
13 3 0.0
13 4 0.0
13 5 0.0
13 6 0.06
13 7 0.36
13 8 0.76
13 9 0.76
13 10 0.36
13 11 0.08
14 0 0.0
14 1 0.0
14 2 0.0
14 3 0.0
14 4 0.0
14 5 0.0
14 6 0.05
14 7 0.25
14 8 0.52
14 9 0.52
14 10 0.25
14 11 0.06
15 0 0.0
15 1 0.0
15 2 0.0
15 3 0.0
15 4 0.0
15 5 0.0
15 6 0.03
15 7 0.16
15 8 0.32
15 9 0.32
15 10 0.16
15 11 0.04

symbol 5
0 0 0.04
0 1 0.17
0 2 0.38
0 3 0.52
0 4 0.56
0 5 0.56
0 6 0.56
0 7 0.56
0 8 0.56
0 9 0.52
0 10 0.39
0 11 0.26
1 0 0.07
1 1 0.26
1 2 0.57
1 3 0.77
1 4 0.82
1 5 0.82
1 6 0.82
1 7 0.82
1 8 0.82
1 9 0.78
1 10 0.61
1 11 0.39
2 0 0.09
2 1 0.34
2 2 0.75
2 3 0.96
2 4 0.93
2 5 0.86
2 6 0.85
2 7 0.85
2 8 0.85
2 9 0.81
2 10 0.63
2 11 0.40
3 0 0.12
3 1 0.40
3 2 0.83
3 3 0.94
3 4 0.68
3 5 0.46
3 6 0.42
3 7 0.42
3 8 0.42
3 9 0.38
3 10 0.27
3 11 0.17
4 0 0.24
4 1 0.53
4 2 0.88
4 3 0.80
4 4 0.38
4 5 0.14
4 6 0.12
4 7 0.13
4 8 0.12
4 9 0.07
4 10 0.02
4 11 0.01
5 0 0.41
5 1 0.69
5 2 0.88
5 3 0.63
5 4 0.27
5 5 0.19
5 6 0.27
5 7 0.33
5 8 0.27
5 9 0.14
5 10 0.04
5 11 0.00
6 0 0.54
6 1 0.82
6 2 0.94
6 3 0.71
6 4 0.51
6 5 0.54
6 6 0.68
6 7 0.75
6 8 0.67
6 9 0.44
6 10 0.19
6 11 0.06
7 0 0.56
7 1 0.82
7 2 1.0
7 3 0.97
7 4 0.88
7 5 0.81
7 6 0.81
7 7 0.84
7 8 0.88
7 9 0.77
7 10 0.45
7 11 0.21
8 0 0.40
8 1 0.60
8 2 0.79
8 3 0.87
8 4 0.80
8 5 0.58
8 6 0.44
8 7 0.47
8 8 0.69
8 9 0.89
8 10 0.71
8 11 0.42
9 0 0.21
9 1 0.31
9 2 0.40
9 3 0.42
9 4 0.34
9 5 0.19
9 6 0.09
9 7 0.14
9 8 0.45
9 9 0.87
9 10 0.86
9 11 0.58
10 0 0.21
10 1 0.29
10 2 0.31
10 3 0.21
10 4 0.09
10 5 0.02
10 6 0.0
10 7 0.05
10 8 0.36
10 9 0.83
10 10 0.90
10 11 0.63
11 0 0.35
11 1 0.52
11 2 0.61
11 3 0.45
11 4 0.21
11 5 0.09
11 6 0.07
11 7 0.14
11 8 0.44
11 9 0.84
11 10 0.85
11 11 0.58
12 0 0.37
12 1 0.60
12 2 0.85
12 3 0.82
12 4 0.59
12 5 0.44
12 6 0.42
12 7 0.52
12 8 0.74
12 9 0.83
12 10 0.66
12 11 0.42
13 0 0.21
13 1 0.40
13 2 0.68
13 3 0.86
13 4 0.87
13 5 0.85
13 6 0.84
13 7 0.85
13 8 0.82
13 9 0.63
13 10 0.37
13 11 0.21
14 0 0.06
14 1 0.14
14 2 0.31
14 3 0.51
14 4 0.69
14 5 0.79
14 6 0.79
14 7 0.69
14 8 0.51
14 9 0.30
14 10 0.14
14 11 0.06
15 0 0.00
15 1 0.03
15 2 0.09
15 3 0.23
15 4 0.41
15 5 0.53
15 6 0.56
15 7 0.41
15 8 0.23
15 9 0.09
15 10 0.03
15 11 0.00

symbol 6
0 0 0.0
0 1 0.05
0 2 0.19
0 3 0.40
0 4 0.54
0 5 0.59
0 6 0.59
0 7 0.54
0 8 0.40
0 9 0.19
0 10 0.05
0 11 0.0
1 0 0.05
1 1 0.17
1 2 0.42
1 3 0.67
1 4 0.81
1 5 0.83
1 6 0.82
1 7 0.79
1 8 0.66
1 9 0.42
1 10 0.17
1 11 0.05
2 0 0.19
2 1 0.42
2 2 0.74
2 3 0.88
2 4 0.85
2 5 0.78
2 6 0.76
2 7 0.81
2 8 0.86
2 9 0.74
2 10 0.42
2 11 0.19
3 0 0.38
3 1 0.64
3 2 0.86
3 3 0.75
3 4 0.51
3 5 0.38
3 6 0.37
3 7 0.49
3 8 0.71
3 9 0.83
3 10 0.64
3 11 0.38
4 0 0.51
4 1 0.77
4 2 0.85
4 3 0.52
4 4 0.20
4 5 0.08
4 6 0.08
4 7 0.18
4 8 0.38
4 9 0.61
4 10 0.59
4 11 0.40
5 0 0.57
5 1 0.83
5 2 0.82
5 3 0.42
5 4 0.13
5 5 0.06
5 6 0.07
5 7 0.10
5 8 0.18
5 9 0.28
5 10 0.28
5 11 0.19
6 0 0.59
6 1 0.84
6 2 0.81
6 3 0.49
6 4 0.32
6 5 0.34
6 6 0.38
6 7 0.39
6 8 0.33
6 9 0.19
6 10 0.08
6 11 0.03
7 0 0.59
7 1 0.84
7 2 0.88
7 3 0.71
7 4 0.67
7 5 0.73
7 6 0.79
7 7 0.81
7 8 0.73
7 9 0.46
7 10 0.17
7 11 0.05
8 0 0.59
8 1 0.86
8 2 0.99
8 3 0.94
8 4 0.91
8 5 0.84
8 6 0.78
8 7 0.83
8 8 0.90
8 9 0.76
8 10 0.42
8 11 0.19
9 0 0.59
9 1 0.87
9 2 1.0
9 3 0.91
9 4 0.76
9 5 0.53
9 6 0.40
9 7 0.49
9 8 0.74
9 9 0.86
9 10 0.64
9 11 0.38
10 0 0.57
10 1 0.84
10 2 0.92
10 3 0.66
10 4 0.37
10 5 0.18
10 6 0.10
10 7 0.21
10 8 0.55
10 9 0.84
10 10 0.74
10 11 0.49
11 0 0.51
11 1 0.77
11 2 0.86
11 3 0.56
11 4 0.24
11 5 0.10
11 6 0.09
11 7 0.21
11 8 0.55
11 9 0.84
11 10 0.74
11 11 0.49
12 0 0.38
12 1 0.64
12 2 0.86
12 3 0.75
12 4 0.52
12 5 0.40
12 6 0.39
12 7 0.51
12 8 0.75
12 9 0.86
12 10 0.64
12 11 0.38
13 0 0.19
13 1 0.42
13 2 0.74
13 3 0.86
13 4 0.85
13 5 0.82
13 6 0.80
13 7 0.85
13 8 0.88
13 9 0.74
13 10 0.42
13 11 0.19
14 0 0.05
14 1 0.17
14 2 0.42
14 3 0.64
14 4 0.77
14 5 0.83
14 6 0.84
14 7 0.81
14 8 0.67
14 9 0.42
14 10 0.17
14 11 0.05
15 0 0.0
15 1 0.05
15 2 0.19
15 3 0.38
15 4 0.51
15 5 0.57
15 6 0.59
15 7 0.54
15 8 0.40
15 9 0.19
15 10 0.05
15 11 0.0

symbol 7
0 0 0.27
0 1 0.39
0 2 0.54
0 3 0.59
0 4 0.59
0 5 0.59
0 6 0.59
0 7 0.59
0 8 0.59
0 9 0.54
0 10 0.38
0 11 0.24
1 0 0.36
1 1 0.55
1 2 0.80
1 3 0.89
1 4 0.89
1 5 0.89
1 6 0.89
1 7 0.89
1 8 0.89
1 9 0.80
1 10 0.57
1 11 0.36
2 0 0.34
2 1 0.54
2 2 0.78
2 3 0.86
2 4 0.86
2 5 0.86
2 6 0.88
2 7 0.93
2 8 1.0
2 9 0.97
2 10 0.72
2 11 0.47
3 0 0.17
3 1 0.26
3 2 0.36
3 3 0.40
3 4 0.40
3 5 0.40
3 6 0.46
3 7 0.63
3 8 0.87
3 9 0.94
3 10 0.73
3 11 0.48
4 0 0.04
4 1 0.05
4 2 0.07
4 3 0.07
4 4 0.07
4 5 0.09
4 6 0.21
4 7 0.50
4 8 0.81
4 9 0.87
4 10 0.62
4 11 0.37
5 0 0.01
5 1 0.01
5 2 0.01
5 3 0.01
5 4 0.02
5 5 0.07
5 6 0.30
5 7 0.62
5 8 0.85
5 9 0.77
5 10 0.45
5 11 0.22
6 0 0.00
6 1 0.00
6 2 0.01
6 3 0.02
6 4 0.04
6 5 0.16
6 6 0.44
6 7 0.77
6 8 0.85
6 9 0.62
6 10 0.28
6 11 0.10
7 0 0.0
7 1 0.0
7 2 0.01
7 3 0.02
7 4 0.08
7 5 0.28
7 6 0.62
7 7 0.85
7 8 0.77
7 9 0.45
7 10 0.16
7 11 0.06
8 0 0.0
8 1 0.0
8 2 0.0
8 3 0.03
8 4 0.16
8 5 0.44
8 6 0.77
8 7 0.85
8 8 0.62
8 9 0.29
8 10 0.09
8 11 0.05
9 0 0.0
9 1 0.0
9 2 0.0
9 3 0.07
9 4 0.28
9 5 0.62
9 6 0.85
9 7 0.77
9 8 0.44
9 9 0.16
9 10 0.06
9 11 0.04
10 0 0.0
10 1 0.0
10 2 0.02
10 3 0.15
10 4 0.44
10 5 0.77
10 6 0.85
10 7 0.62
10 8 0.28
10 9 0.08
10 10 0.03
10 11 0.03
11 0 0.0
11 1 0.0
11 2 0.07
11 3 0.28
11 4 0.62
11 5 0.85
11 6 0.77
11 7 0.44
11 8 0.15
11 9 0.03
11 10 0.01
11 11 0.01
12 0 0.00
12 1 0.03
12 2 0.15
12 3 0.45
12 4 0.77
12 5 0.85
12 6 0.62
12 7 0.28
12 8 0.07
12 9 0.01
12 10 0.01
12 11 0.00
13 0 0.00
13 1 0.05
13 2 0.24
13 3 0.57
13 4 0.81
13 5 0.75
13 6 0.44
13 7 0.16
13 8 0.04
13 9 0.014
13 10 0.00
13 11 0.00
14 0 0.00
14 1 0.05
14 2 0.23
14 3 0.50
14 4 0.65
14 5 0.53
14 6 0.26
14 7 0.07
14 8 0.02
14 9 0.01
14 10 0.00
14 11 0.0
15 0 0.00
15 1 0.04
15 2 0.17
15 3 0.35
15 4 0.44
15 5 0.34
15 6 0.16
15 7 0.04
15 8 0.01
15 9 0.01
15 10 0.0
15 11 0.0

symbol 8
0 0 0.0
0 1 0.06
0 2 0.25
0 3 0.49
0 4 0.63
0 5 0.67
0 6 0.67
0 7 0.63
0 8 0.49
0 9 0.25
0 10 0.06
0 11 0.0
1 0 0.06
1 1 0.20
1 2 0.47
1 3 0.75
1 4 0.89
1 5 0.92
1 6 0.92
1 7 0.89
1 8 0.75
1 9 0.47
1 10 0.20
1 11 0.06
2 0 0.25
2 1 0.47
2 2 0.75
2 3 0.88
2 4 0.89
2 5 0.89
2 6 0.89
2 7 0.89
2 8 0.88
2 9 0.75
2 10 0.47
2 11 0.25
3 0 0.49
3 1 0.75
3 2 0.88
3 3 0.70
3 4 0.50
3 5 0.44
3 6 0.44
3 7 0.50
3 8 0.70
3 9 0.88
3 10 0.75
3 11 0.49
4 0 0.63
4 1 0.89
4 2 0.89
4 3 0.50
4 4 0.16
4 5 0.08
4 6 0.08
4 7 0.16
4 8 0.50
4 9 0.89
4 10 0.89
4 11 0.63
5 0 0.63
5 1 0.89
5 2 0.89
5 3 0.50
5 4 0.16
5 5 0.08
5 6 0.08
5 7 0.16
5 8 0.50
5 9 0.89
5 10 0.89
5 11 0.63
6 0 0.49
6 1 0.77
6 2 0.92
6 3 0.72
6 4 0.50
6 5 0.44
6 6 0.44
6 7 0.50
6 8 0.72
6 9 0.92
6 10 0.77
6 11 0.49
7 0 0.32
7 1 0.62     
7 2 0.94
7 3 1.0
7 4 0.92
7 5 0.89
7 6 0.89
7 7 0.92
7 8 1.0
7 9 0.94
7 10 0.62
7 11 0.32
8 0 0.32
8 1 0.62
8 2 0.94
8 3 1.0
8 4 0.92
8 5 0.89
8 6 0.89
8 7 0.92
8 8 1.0
8 9 0.94
8 10 0.62
8 11 0.32
9 0 0.49
9 1 0.77
9 2 0.92
9 3 0.72
9 4 0.50
9 5 0.44
9 6 0.44
9 7 0.50
9 8 0.72
9 9 0.92
9 10 0.77
9 11 0.49
10 0 0.63
10 1 0.89
10 2 0.89
10 3 0.50
10 4 0.16
10 5 0.08
10 6 0.08
10 7 0.16
10 8 0.50
10 9 0.89
10 10 0.89
10 11 0.63
11 0 0.63
11 1 0.89
11 2 0.89
11 3 0.50
11 4 0.16
11 5 0.08
11 6 0.08
11 7 0.16
11 8 0.50
11 9 0.89
11 10 0.89
11 11 0.63
12 0 0.49
12 1 0.75
12 2 0.88
12 3 0.70
12 4 0.50
12 5 0.44
12 6 0.44
12 7 0.50
12 8 0.70
12 9 0.88
12 10 0.75
12 11 0.49
13 0 0.25
13 1 0.47
13 2 0.75
13 3 0.88
13 4 0.89
13 5 0.89
13 6 0.89
13 7 0.89
13 8 0.88
13 9 0.75
13 10 0.47
13 11 0.25
14 0 0.06
14 1 0.20
14 2 0.47
14 3 0.75
14 4 0.89
14 5 0.92
14 6 0.92
14 7 0.89
14 8 0.75
14 9 0.47
14 10 0.20
14 11 0.06
15 0 0.0
15 1 0.06
15 2 0.25
15 3 0.49
15 4 0.63
15 5 0.67
15 6 0.67
15 7 0.63
15 8 0.49
15 9 0.25
15 10 0.06
15 11 0.0

symbol 9
0 0 0.01
0 1 0.06
0 2 0.20
0 3 0.39
0 4 0.50
0 5 0.53
0 6 0.53
0 7 0.50
0 8 0.39
0 9 0.20
0 10 0.06
0 11 0.01
